,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
3881,St. Bernard's Residence - 2nd & 3rd Fl,685 Finch Ave W,Retirement Home,Respiratory,Rhinovirus,2023-07-26,2023-08-08,Inactive,-79.4561852,43.7709198
3882,Extendicare Rouge Valley - BSU,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2023-07-25,2023-08-24,Inactive,-79.1894286,43.8029937
3883,Sinai Health System - Hennick Bridgepoint - 9 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2023-07-25,2023-08-01,Inactive,-79.3554469,43.6658608
3885,Carefree Lodge,306 Finch Ave E,LTCH,Respiratory,Enterovirus,2023-07-23,2023-08-07,Inactive,-79.392388,43.7850419
3886,The Village Of Humber Heights - Wadsworth Neighborhood,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,2023-07-23,2023-08-14,Inactive,-79.527245,43.6972121
3887,The Teddington - 5th Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Coronavirus,2023-07-22,2023-07-31,Inactive,-79.4040004,43.733129
3888,Westside - 4th Fl East Wing,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,2023-07-21,2023-08-04,Inactive,-79.5667899,43.7373503
3889,"Craiglee Nursing Home - 2 East, 3 East & 3 West",102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-07-20,2023-08-04,Inactive,-79.2528019,43.7067792
3890,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-07-20,2023-07-31,Inactive,-79.2468577,43.7550969
3891,Cummer Lodge - 3rd Fl,205 Cummer Ave,LTCH,Respiratory,Metapneumovirus,2023-07-19,2023-08-04,Inactive,-79.40816758965518,43.78889555517242
3892,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-07-19,2023-08-16,Inactive,-79.210221,43.763575
3893,Kensington Gardens - The Kensington Health Centre - North Building,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,2023-07-19,2023-08-29,Inactive,-79.40368867487679,43.6581346
3894,Queens Estate Retirement Residence - 3rd & 4th Fl,265 Queens Dr,Retirement Home,Respiratory,Coronavirus,2023-07-19,2023-08-09,Inactive,-79.504314,43.707185
3895,Kensington Gardens - The Kensington Health Centre - 3rd Fl,25 Brunswick Ave,LTCH,Enteric,Unable to identify,2023-07-18,2023-07-23,Inactive,-79.40368867487679,43.6581346
3896,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave East,LTCH,Respiratory,Coronavirus,2023-07-17,2023-07-31,Inactive,-79.3117512,43.7055002
3897,William Osler Health System - 7E (Cardiology Unit),101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2023-07-17,2023-07-21,Inactive,-79.5991896,43.7306053
3898,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2023-07-14,2023-07-21,Inactive,-79.3792695,43.7235801
3899,UHN - Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-07-13,2023-08-02,Inactive,-79.390408,43.65813
3900,Extendicare Bayview - South & East Unit,550 Cummer Ave,LTCH,Respiratory,Parainfluenza,2023-07-12,2023-08-02,Inactive,-79.3904512,43.7932278
3901,Fountainview Care Community - 3rd Fl,1800 O'Connor Dr,LTCH,Enteric,Unable to identify,2023-07-12,2023-07-19,Inactive,-79.30522822012195,43.7204409
3902,Terraces of Baycrest,55 Ameer Ave,Retirement Home,Respiratory,Influenza A,2023-07-12,2023-07-22,Inactive,-79.4410166,43.7294379
3903,Extendicare Bayview - East & South Units,550 Cummer Ave,LTCH,Respiratory,Coronavirus,2023-07-11,2023-07-26,Inactive,-79.3904512,43.7932278
3904,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Coronavirus,2023-07-11,2023-07-24,Inactive,-79.567569,43.643719
3905,Weston Terrace Care Community - 1A & 2A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2023-07-11,2023-08-11,Inactive,-79.51072231818182,43.70133497272727
3906,Mon Sheong Scarborough Long Term Care Centre - 4th Fl (SPH Unit),2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-07-10,2023-07-20,Inactive,-79.2994857,43.8128599
3907,Midland Gardens Care Community - 3rd Fl South,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2023-07-09,2023-07-24,Inactive,-79.2469846,43.7077593
3908,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Coronavirus,2023-07-08,2023-08-03,Inactive,-79.39170138466517,43.67449825
3909,Villa Colombo - Unit 5 Fidani,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,2023-07-07,2023-08-03,Inactive,-79.45668174072816,43.71094909999999
3910,The Wexford - 6th & 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,2023-07-05,2023-07-21,Inactive,-79.3024148,43.7438388
3911,Kensington Gardens - 1W (North),45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,2023-07-04,2023-07-16,Inactive,-79.404305,43.658784
3912,Labdara Lithuanian Nursing Home - Unit 2,5 Resurrection Rd,LTCH,Respiratory,Rhinovirus,2023-07-04,2023-07-22,Inactive,-79.530938,43.644155
3913,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,2023-07-04,2023-07-13,Inactive,-79.3117512,43.7055002
3914,North York General Hospital - Seniors' Health Centre - 1st & 2nd Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-07-03,2023-07-20,Inactive,-79.35998,43.772849
3915,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-07-01,2023-07-12,Inactive,-79.2994857,43.8128599
3916,Delmanor Prince Edward - 4th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2023-06-30,2023-07-12,Inactive,-79.50993406250001,43.6609728625
3917,"Extendicare Rouge Valley - Morish House, 3rd Fl Unit",551 Conlins Rd,LTCH,Respiratory,Coronavirus,2023-06-30,2023-07-27,Inactive,-79.1894286,43.8029937
3918,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2023-06-30,2023-07-08,Inactive,-79.3792695,43.7235801
3919,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-06-29,2023-07-06,Inactive,-79.4059789,43.6537982
3920,Retirement Suites By The Lake - 2nd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,2023-06-28,2023-07-06,Inactive,-79.2561528,43.6979544
3921,Kensington Gardens - The Kensington Health Centre - Unit 2,45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,2023-06-27,2023-07-05,Inactive,-79.404305,43.658784
3922,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-06-27,2023-07-05,Inactive,-79.481008,43.664497
3923,The Jewish Home for the Aged - 5EI,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-06-27,2023-07-09,Inactive,-79.4361036,43.7292745
3924,Kennedy Lodge - 2 North,1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,2023-06-26,2023-07-06,Inactive,-79.28034723089634,43.763144877160734
3925,Runnymede Healthcare Centre - 4E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-06-26,2023-07-03,Inactive,-79.481008,43.664497
3926,Villa Colombo Homes for the Aged - 2 Fusco North,40 Playfair Ave,LTCH,Respiratory,Enterovirus,2023-06-26,2023-07-04,Inactive,-79.45668174072816,43.71094909999999
3927,Amica Bayview Gardens - 3rd Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2023-06-25,2023-07-08,Inactive,-79.38257754978882,43.76690666292305
3928,Unity Health Toronto - Houses of Providence - HOP 1 East - Redwood,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-23,2023-07-04,Inactive,-79.2861565,43.7135926
3929,Tendercare Living Centre - 2 East & 3rd Fl,1020 Mcnicoll Ave,LTCH,Respiratory,Parainfluenza,2023-06-21,2023-07-14,Inactive,-79.3361316,43.8042581
3930,Chartwell Trilogy Long Term Care Residence - 7th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2023-06-17,2023-06-27,Inactive,-79.238633,43.73837
3931,Humber Meadows Long-Term Care Home - 4th Fl Cardinal North Unit,2109 Finch Ave W,LTCH,Enteric,Unable to identify,2023-06-17,2023-06-26,Inactive,-79.4305504,43.7763831
3932,Unity Health Toronto - Providence - B4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Coronavirus,2023-06-16,2023-06-22,Inactive,-79.2861565,43.7135926
3933,"Villa Colombo Homes for the Aged - 2 Fusco West, South & North",40 Playfair Ave,LTCH,Respiratory,Coronavirus,2023-06-16,2023-07-04,Inactive,-79.45668174072816,43.71094909999999
3934,Fieldstone Commons Care Community - 2A,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2023-06-15,2023-07-01,Inactive,-79.277814,43.766995
3935,Unity Health Toronto - Houses of Providence - HOP 1NE - Birch,3276 St. Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-15,2023-06-27,Inactive,-79.2861565,43.7135926
3936,Donway Place - 3rd & 4th Fl,8 The Donway E,Retirement Home,Respiratory,Rhinovirus,2023-06-14,2023-07-05,Inactive,-79.340067,43.733914
3937,"Scarborough Retirement Residence - 2nd, 3rd, 6th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus,2023-06-13,2023-07-13,Inactive,-79.2180677,43.7407432
3938,Chartwell Guildwood Retirement Residence - 2nd Fl (Memory Living),65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2023-06-12,2023-06-26,Inactive,-79.1980788,43.7451732
3939,Unity Health Toronto - Houses of Providence - HOP 2NW - Pine,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-10,2023-06-20,Inactive,-79.2861565,43.7135926
3940,Unity Health Toronto - Houses of Providence - HOP 2E - Spruce,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-09,2023-06-15,Inactive,-79.2861565,43.7135926
3941,Weston Terrace Care Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2023-06-09,2023-06-28,Inactive,-79.51072231818182,43.70133497272727
3942,Delmanor Prince Edward - 3rd & 5th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2023-06-08,2023-06-28,Inactive,-79.50993406250001,43.6609728625
3943,Donway Place - North York - 2nd & 3rd Fl,8 The Donway E,Retirement Home,Respiratory,Coronavirus,2023-06-07,2023-06-21,Inactive,-79.340067,43.733914
3944,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A,2023-06-07,2023-06-27,Inactive,-79.560686,43.64745
3945,"Norfinch Care Community - Unit 1A, 2A, 2B & 3A",22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2023-06-07,2023-07-20,Inactive,-79.52465315351665,43.75628127207558
3946,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Unable to identify,2023-06-05,2023-06-12,Inactive,-79.39170138466517,43.67449825
3947,Harmony Hills Care Community - 1A (Melody Lane) & 3A (Rainbow Valley),1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2023-06-05,2023-06-16,Inactive,-79.30522822012195,43.7204409
3948,Scarborough Retirement Residence - 4th Fl,148 Markham Rd,Retirement Home,Respiratory,Rhinovirus,2023-06-05,2023-06-12,Inactive,-79.2180677,43.7407432
3949,Unity Health Toronto - Houses of Providence - HOP 2E - Chestnut,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-05,2023-06-16,Inactive,-79.2861565,43.7135926
3950,McNicoll Manor/Moll Berczy Haus - 4 West,1020 McNicoll Ave,Retirement Home,Respiratory,Coronavirus,2023-06-04,2023-06-14,Inactive,-79.3361316,43.8042581
3951,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,2023-06-03,2023-06-15,Inactive,-79.2753435,43.7058073
3952,Fudger House - 2 West,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2023-06-02,2023-06-12,Inactive,-79.373735,43.666208
3953,"Yee Hong Centre - Scarborough Finch - 5th Fl, South",60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2023-06-01,2023-06-08,Inactive,-79.25453972658863,43.8086905
3954,Dom Lipa - West 1 & West 2,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2023-05-31,2023-06-20,Inactive,-79.56570787160844,43.629111449999996
3955,Extendicare Scarborough - 1st & 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-05-31,2023-06-10,Inactive,-79.210221,43.763575
3956,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2023-05-31,2023-06-22,Inactive,-79.16359737687672,43.78421151514884
3957,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-05-31,2023-06-15,Inactive,-79.390408,43.65813
3958,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2023-05-30,2023-06-19,Inactive,-79.42113793274277,43.673349
3959,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-30,2023-06-09,Inactive,-79.450101,43.639359
3960,William Osler Health System - RCC Church - 5th Fl,200 Church Street,Transitional Care,Respiratory,Coronavirus,2023-05-30,2023-06-06,Inactive,-79.510442,43.709345
3961,Cedarvale Terrace - 3rd & 5th Fl,429 Walmer Road,LTCH,Respiratory,Coronavirus,2023-05-29,2023-06-27,Inactive,-79.412483,43.685423
3962,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-05-29,2023-06-07,Inactive,-79.481008,43.664497
3963,North York General Hospital - General Site - 5 West,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-28,2023-06-14,Inactive,-79.362213,43.7699003
3964,Terraces of Baycrest - 6th Fl,55 Ameer Ave,LTCH,Respiratory,Coronavirus,2023-05-27,2023-06-03,Inactive,-79.4410166,43.7294379
3965,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-27,2023-06-03,Inactive,-79.450101,43.639359
3966,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Unable to identify,2023-05-26,2023-06-04,Inactive,-79.2241579,43.7554562
3967,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2023-05-26,2023-06-22,Inactive,-79.43074080619229,43.6403384
3968,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Coronavirus,2023-05-26,2023-06-19,Inactive,-79.3316241,43.66280613333333
3969,Unity Health Toronto - Providence - D3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2023-05-26,2023-06-01,Inactive,-79.2861565,43.7135926
3970,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-05-25,2023-06-16,Inactive,-79.2468577,43.7550969
3971,Belmont House,55 Belmont St,Retirement Home,Enteric,Norovirus,2023-05-24,2023-06-06,Inactive,-79.39170138466517,43.67449825
3972,North York General Hospital - Seniors' Health Centre - 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Coronavirus,2023-05-24,2023-06-03,Inactive,-79.35998,43.772849
3973,Centre for Addiction and Mental Health - Queen Street Site - PRT 6,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-05-23,2023-06-02,Inactive,-79.4186199,43.6438339
3974,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-05-23,2023-06-01,Inactive,-79.560686,43.64745
3975,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2023-05-23,2023-06-04,Inactive,-79.3024148,43.7438388
3976,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-23,2023-05-31,Inactive,-79.4059789,43.6537982
3977,Delmanor Wynford,187 Wynford Dr,Retirement Home,Respiratory,Coronavirus,2023-05-22,2023-05-31,Inactive,-79.326262,43.724681
3978,Hellenic Home - 3A,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-05-22,2023-06-07,Inactive,-79.2746356,43.7493249
3980,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-5,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-05-17,2023-05-30,Inactive,-79.4186199,43.6438339
3981,Craiglee Nursing Home - 2 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-05-17,2023-05-31,Inactive,-79.2528019,43.7067792
3982,Retirement Suites by the Lake - 2nd & 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus,2023-05-17,2023-05-30,Inactive,-79.2561528,43.6979544
3983,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Respiratory,Coronavirus,2023-05-16,2023-06-23,Inactive,-79.4186528,43.6647391
3984,Castleview Wychwood Towers - 4W,351 Christie St,LTCH,Respiratory,Coronavirus,2023-05-15,2023-05-29,Inactive,-79.42113793274277,43.673349
3985,Midland Gardens Care Community - 2nd & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2023-05-15,2023-05-30,Inactive,-79.2469846,43.7077593
3986,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Coronavirus,2023-05-13,2023-05-29,Inactive,-79.44484073636364,43.78182523636364
3987,Jewish Home for the Aged - 6RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-05-13,2023-05-23,Inactive,-79.4361036,43.7292745
3988,TEHN - Atrium At Kew Beach - MGH Affiliated Unit - 2nd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Metapneumovirus,2023-05-12,2023-05-18,Inactive,-79.3026915478865,43.6778819
3989,University Health Network - Toronto Western - 5B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-12,2023-05-26,Inactive,-79.4059789,43.6537982
3990,Sunnybrook Health Sciences Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2023-05-11,2023-05-27,Inactive,-79.3792695,43.7235801
3991,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Coronavirus,2023-05-10,2023-05-16,Inactive,-79.42931564668473,43.63752855
3992,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Coronavirus,2023-05-09,2023-05-20,Inactive,-79.347342,43.732464
3994,Belmont House,55 Belmont Street,Retirement Home,Respiratory,Coronavirus,2023-05-08,2023-05-15,Inactive,-79.39170138466517,43.67449825
3995,Holland Bloorview Kids Rehabilitation Hospital - SODR (Rehab),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Parainfluenza,2023-05-08,2023-05-12,Inactive,-79.37434881971065,43.7182666
3996,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-3,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-05-05,2023-05-18,Inactive,-79.4186199,43.6438339
3998,"Fudger House - 1E, 1W, 2E & 3E",439 Sherbourne St,LTCH,Respiratory,Coronavirus,2023-05-04,2023-06-01,Inactive,-79.373735,43.666208
3999,Scarborough Health Network - General Hospital - T7 - Med,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2023-05-04,2023-05-17,Inactive,-79.246316,43.7566259
4000,"Scarborough Retirement Residence - 2nd, 4th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus,2023-05-04,2023-05-23,Inactive,-79.2180677,43.7407432
4001,"Chester Village - 2E, 3E, 4E, 1W & 2W",3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2023-05-03,2023-06-15,Inactive,-79.27409672758621,43.69413068275862
4002,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Metapneumovirus,2023-05-02,2023-05-18,Inactive,-79.39170138466517,43.67449825
4003,North York General Hospital - Seniors' Health Centre - 2nd & 4th Fl,2 Buchan Crt,LTCH,Respiratory,Coronavirus,2023-05-02,2023-05-24,Inactive,-79.35998,43.772849
4004,Lakeside Long Term Care Centre - 2nd & 3rd Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2023-05-01,2023-05-18,Inactive,-79.4326664,43.6356584
4005,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2023-05-01,2023-06-14,Inactive,-79.2468577,43.7550969
4006,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,Coronavirus,2023-05-01,2023-05-16,Inactive,-79.401462,43.672538
4007,Eatonville Care Centre - Unit 2 & 4,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-04-30,2023-05-11,Inactive,-79.560686,43.64745
4008,Villa Colombo Homes for the Aged - 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,2023-04-29,2023-05-08,Inactive,-79.45668174072816,43.71094909999999
4009,Aspira Kensington Place Retirement Living - 6th Fl,866 Sheppard Ave,Retirement Home,Respiratory,Coronavirus,2023-04-28,2023-05-11,Inactive,-79.1089196,43.8241454
4010,Christie Gardens - Annex Neighbourhood & Seaton Neighbourhood,600 Melita Cres,LTCH,Respiratory,Coronavirus,2023-04-28,2023-05-15,Inactive,-79.4229698,43.6725542
4011,The Village Of Humber Heights - Islington,2245 Lawrence Ave W,LTCH,Respiratory,Metapneumovirus,2023-04-28,2023-05-15,Inactive,-79.527245,43.6972121
4012,Unity Health Toronto - St. Joseph's Health Centre - CYSTO Department,30 The Queensway,Hospital-Acute Care,Enteric,Unable to identify,2023-04-28,2023-05-03,Inactive,-79.450101,43.639359
4013,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,2023-04-27,2023-05-08,Inactive,-79.2034339,43.7794412
4014,Baycrest Hospital - North York - 6 West,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-26,2023-05-04,Inactive,-79.4361036,43.7292745
4015,Centre for Addiction And Mental Health - GAU-A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Streptococcus pyogenes,2023-04-26,2023-05-15,Inactive,-79.4186199,43.6438339
4016,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2023-04-26,2023-05-08,Inactive,-79.29894248888888,43.681406233333334
4017,One Kenton Place - 3rd Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Coronavirus,2023-04-26,2023-05-04,Inactive,-79.4420782,43.7785118
4018,Pine Villa Transitional Care,1035 Eglinton Ave W,Hospital-Chronic Care,Enteric,Norovirus,2023-04-26,2023-05-03,Inactive,-79.4326308,43.6993415
4019,St. George Care Community - 1st Fl,225 St George St,LTCH,Respiratory,Rhinovirus,2023-04-26,2023-05-01,Inactive,-79.401462,43.672538
4020,North York General Hospital - General Site - 5W (Medicine/Rehab),4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-25,2023-05-09,Inactive,-79.362213,43.7699003
4021,Sunnybrook Health Sciences Centre - F2 & PICU,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-25,2023-05-06,Inactive,-79.3792695,43.7235801
4022,New Horizons Tower - 9th Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2023-04-24,2023-05-03,Inactive,-79.43604266376147,43.659954600000006
4023,Presentation Manor for Seniors - 2nd Fl (IL & AL) & 3rd Fl (IL & AL),61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2023-04-24,2023-05-10,Inactive,-79.2829526,43.7160464
4024,Cummer Lodge - 3 North & 4 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2023-04-23,2023-05-13,Inactive,-79.40816758965518,43.78889555517242
4025,Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Enteric,Unable to identify,2023-04-22,2023-05-01,Inactive,-79.40816758965518,43.78889555517242
4026,Valleyview Residence - 2E & 2W,541 Finch Ave W,LTCH,Respiratory,Parainfluenza,2023-04-22,2023-05-23,Inactive,-79.4482104,43.7727096
4027,Westside - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2023-04-22,2023-05-18,Inactive,-79.5667899,43.7373503
4028,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,2023-04-21,2023-05-05,Inactive,-79.4326664,43.6356584
4029,Midland Gardens Care Community - 5th & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2023-04-20,2023-05-12,Inactive,-79.2469846,43.7077593
4030,Norfinch Care Community - Unit 3A,22 Norfinch Dr,LTCH,Respiratory,Metapneumovirus,2023-04-20,2023-05-03,Inactive,-79.52465315351665,43.75628127207558
4031,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,Coronavirus,2023-04-20,2023-04-27,Inactive,-79.401462,43.672538
4032,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Enterovirus,2023-04-19,2023-04-28,Inactive,-79.238633,43.73837
4033,Craiglee Nursing Home - 3 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-04-19,2023-04-29,Inactive,-79.2528019,43.7067792
4034,RCC - William Osler Health System - Church Site - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-19,2023-04-24,Inactive,-79.510442,43.709345
4035,"Bendale Acres - 2 West, 3rd & 6th Fl",2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2023-04-18,2023-05-26,Inactive,-79.2516534,43.7543919
4036,Harmony Hills Care Community - 2nd Fl,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2023-04-18,2023-04-27,Inactive,-79.30522822012195,43.7204409
4037,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-18,2023-05-11,Inactive,-79.2753435,43.7058073
4038,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-18,2023-04-26,Inactive,-79.40424676206896,43.789755968965515
4040,Cedarbrook Lodge Retirement Residence - 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2023-04-17,2023-04-27,Inactive,-79.2241579,43.7554562
4041,Harold and Grace Baker Centre - A & C Wing,1 Northwestern Ave,LTCH,Respiratory,Metapneumovirus,2023-04-17,2023-04-24,Inactive,-79.4688897,43.6987718
4042,Jewish Home for the Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-04-17,2023-04-27,Inactive,-79.4361036,43.7292745
4043,Unity Health - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus,2023-04-17,2023-04-25,Inactive,-79.450101,43.639359
4044,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-04-28,Inactive,-79.4059789,43.6537982
