,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
3753,The Russell Hill Retirement Residence - 2nd Fl,262 St Clair Ave W,Retirement Home,Respiratory,Unable to identify,2023-09-19,2023-09-23,Inactive
3754,William Osler Health System - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2023-09-19,2023-09-25,Inactive
3755,Bayshore - 6th Fl,221 Milner Ave,LTCH,Respiratory,Coronavirus,2023-09-18,2023-09-28,Inactive
3756,Hazelton Place Retirement Residence,111 Ave Rd,Retirement Home,Respiratory,Coronavirus,2023-09-18,2023-10-10,Inactive
3757,Parkland On Eglinton West - 2nd Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,2023-09-18,2023-09-25,Inactive
3758,Tapestry At Village Gate West - 3rd Fl,15 Summerland Terr,Retirement Home,Respiratory,Rhinovirus,2023-09-18,2023-09-23,Inactive
3759,University Health Network - Toronto Western - 5B,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2023-09-18,2023-09-27,Inactive
3760,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,2023-09-18,2023-09-27,Inactive
3761,Yee Hong Centre - Scarborough Finch - 5th & 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2023-09-18,2023-10-11,Inactive
3762,The Dunfield Retirement Residence - Ground Fl (Dining Rm),77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2023-09-17,2023-09-26,Inactive
3763,The Village of Humber Heights - Weston Unit,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,2023-09-17,2023-09-26,Inactive
3764,Chartwell White Eagle Long Term Care Residence - 4th Fl,138 Dowling Ave,LTCH,Respiratory,Coronavirus,2023-09-16,2023-10-02,Inactive
3765,William Osler Health System - 9E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2023-09-16,2023-09-25,Inactive
3766,Castleview Wychwood Towers - 5th & 6th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2023-09-15,2023-10-03,Inactive
3767,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,2023-09-15,2023-10-17,Inactive
3768,Kennedy Lodge - Scarborough - 3 North,1400 Kennedy Rd,LTCH,Respiratory,Coronavirus,2023-09-15,2023-09-22,Inactive
3769,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,2023-09-15,2023-09-29,Inactive
3770,Valleyview Residence - 2E,541 Finch Ave W,LTCH,Respiratory,Rhinovirus,2023-09-15,2023-09-18,Inactive
3771,Baycrest Apotex Centre - Jewish Home For The Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,2023-09-14,2023-09-18,Inactive
3772,Copernicus Lodge - 4 North,66 Roncesvalles Ave,LTCH,Respiratory,Rhinovirus,2023-09-14,2023-09-25,Inactive
3773,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Coronavirus,2023-09-14,2023-10-10,Inactive
3774,Carefirst Transitional Care Centre - 3rd Fl,300 Silver Star Blvd,Transitional Care,Respiratory,Coronavirus,2023-09-13,2023-09-26,Inactive
3775,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Coronavirus,2023-09-13,2023-10-10,Inactive
3776,One Kenton Place,1-3 Kenton Dr,LTCH,Respiratory,Coronavirus,2023-09-13,2023-09-25,Inactive
3777,Villa Colombo Homes for the Aged - 4th Fl North & South (Fusco Building),40 Playfair Ave,LTCH,Respiratory,Coronavirus,2023-09-13,2023-09-26,Inactive
3778,William Osler Health System - 6W Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2023-09-13,2023-09-18,Inactive
3779,Belmont House - 2E & 4WW,55 Belmont St,LTCH,Respiratory,Coronavirus,2023-09-12,2023-10-06,Inactive
3780,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,Coronavirus,2023-09-12,2023-09-22,Inactive
3781,Tapestry at Village Gate West,15 Summerland Terr,Retirement Home,Respiratory,Coronavirus,2023-09-12,2023-10-04,Inactive
3782,Wesburn Manor - Unit 2S & 2N,400 The West Mall,LTCH,Respiratory,Rhinovirus,2023-09-12,2023-10-04,Inactive
3783,Altamont Care Community - Wing 4,92 Island Rd,LTCH,Respiratory,Coronavirus,2023-09-11,2023-09-25,Inactive
3784,"Chartwell Grenadier Retirement Residence - Units B4, B3 & C5",2100 Bloor St W,Retirement Home,Respiratory,Coronavirus,2023-09-11,2023-09-28,Inactive
3785,Extendicare Bayview - 1st Fl South & East Wing,550 Cummer Ave,LTCH,Respiratory,Coronavirus,2023-09-11,2023-10-02,Inactive
3786,Main Street Terrace - 2nd & 3rd Fl,77 Main St,LTCH,Respiratory,Rhinovirus,2023-09-11,2023-10-05,Inactive
3787,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,2023-09-11,2023-09-23,Inactive
3788,Yee Hong Centre - McNicoll Site - Ground & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Rhinovirus,2023-09-11,2023-10-10,Inactive
3789,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,2023-09-09,2023-09-29,Inactive
3790,Eatonville Care Centre - Unit 5,420 The East Mall,LTCH,Respiratory,Rhinovirus,2023-09-08,2023-09-21,Inactive
3791,The Heritage Nursing Home - 3rd & 4th Fl,1195 Queen St E,LTCH,Respiratory,Coronavirus,2023-09-08,2023-10-03,Inactive
3792,Centre for Addiction and Mental Health - Queen Street Site - PRT 5,1001 Queen St West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-09-07,2023-09-17,Inactive
3793,Sunnybrook Veterans Centre - LSSW Veterans,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,2023-09-07,2023-09-22,Inactive
3794,Baycrest Apotex Centre - Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,2023-09-06,2023-09-15,Inactive
3795,Harold and Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Rhinovirus,2023-09-06,2023-09-22,Inactive
3796,Belmont House,52 McMurrich St,Retirement Home,Respiratory,Coronavirus,2023-09-05,2023-09-15,Inactive
3797,Belmont House - 4WW,55 Belmont St,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-09-05,2023-10-02,Inactive
3798,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Coronavirus,2023-09-05,2023-09-19,Inactive
3799,Centre For Addiction And Mental Health - Unit 1 & 2,1001 Queen Ave W,Hospital-Psychiatric,Respiratory,Unable to identify,2023-09-05,2023-09-19,Inactive
3800,"Presentation Manor - 1st, 3rd & 4th Fl",61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2023-09-05,2023-09-22,Inactive
3801,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2023-09-05,2023-09-26,Inactive
3802,Westside - 4 Fl,1145 Albion Rd,LTCH,Respiratory,Unable to identify,2023-09-05,2023-09-14,Inactive
3803,Bendale Acres - 4 Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2023-09-04,2023-09-22,Inactive
3804,Midland Gardens Care Community - 2nd & 5th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2023-09-03,2023-10-04,Inactive
3805,Isabel and Arthur Meighen Manor - 2nd & 3rd Fl,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,2023-09-01,2023-09-21,Inactive
3806,North York General Hospital - General Site - 7N,4001 Leslie St,Hospital-Acute Care,Respiratory,Coronavirus,2023-09-01,2023-09-11,Inactive
3807,Rockcliffe Care Community - 2nd & 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-09-01,2023-10-02,Inactive
3808,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2023-09-01,2023-09-15,Inactive
3809,"Valleyview Residence - 2E, 3W, 4W, & 4E",541 Finch Ave W,LTCH,Respiratory,Coronavirus,2023-09-01,2023-09-27,Inactive
3810,Chester Village - 2W,3555 Danforth Ave,LTCH,Respiratory,Rhinovirus,2023-08-31,2023-09-11,Inactive
3811,Humber Meadows Long Term Care Home,2109 Finch Ave W,LTCH,Respiratory,Coronavirus,2023-08-31,2023-09-13,Inactive
3812,Leaside - 2nd & 4th Fl,14 William Morgan Dr,Retirement Home,Respiratory,Rhinovirus,2023-08-31,2023-09-09,Inactive
3813,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Rhinovirus,2023-08-31,2023-09-13,Inactive
3814,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Respiratory,Coronavirus,2023-08-30,2023-09-12,Inactive
3815,Hazelton Place Retirement Residence,111 Ave Rd,Retirement Home,Respiratory,Coronavirus,2023-08-30,2023-09-12,Inactive
3816,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2023-08-29,2023-09-06,Inactive
3817,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,2023-08-28,2023-09-21,Inactive
3818,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,Coronavirus,2023-08-28,2023-09-15,Inactive
3819,The Wexford - 5th Fl,1860 Lawrence Ave,LTCH,Respiratory,Rhinovirus,2023-08-28,2023-09-08,Inactive
3820,Deerwood Creek Care Community - 3rd Fl,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2023-08-26,2023-09-19,Inactive
3821,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Unable to identify,2023-08-26,2023-09-05,Inactive
3822,The Village of Humber Heights - Brule & Lambton Neighborhoods,2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2023-08-25,2023-09-07,Inactive
3823,Cedarvale Terrace - 4th & 6th Fl,429 Walmer Rd,LTCH,Respiratory,Rhinovirus,2023-08-24,2023-09-19,Inactive
3824,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Coronavirus,2023-08-23,2023-08-25,Inactive
3825,Mon Sheong Foundation - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Rhinovirus,2023-08-22,2023-09-05,Inactive
3826,Cedarbrook Lodge TCU - 6th Fl,520 Markham Rd,Transitional Care,Respiratory,Coronavirus,2023-08-21,2023-09-06,Inactive
3827,"Copernicus Lodge - 2S, 3S & 4S",66 Roncesvalles Ave,LTCH,Respiratory,Rhinovirus,2023-08-21,2023-09-07,Inactive
3828,Extendicare Rouge Valley - Cedar Ridge House - 2nd Fl,551 Conlins Rd,LTCH,Respiratory,Rhinovirus,2023-08-21,2023-09-06,Inactive
3829,The Jewish Home for the Aged - 5 South,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-08-21,2023-08-28,Inactive
3830,Humber Meadows Long-Term Care Home - 4th Fl,2109 Finch Ave W,LTCH,Respiratory,Unable to identify,2023-08-20,2023-09-07,Inactive
3831,Centre for Addiction and Mental Health - Queen Site - Unit CCC 4,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,2023-08-19,2023-08-28,Inactive
3832,Bendale Acres - 1st Fl,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-08-18,2023-08-28,Inactive
3833,Forest Hill Place - 7th Fl,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2023-08-18,2023-08-28,Inactive
3834,Kipling Acres - 2N CL Unit,2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2023-08-18,2023-08-25,Inactive
3835,The Claremont - 2nd Fl,305 Balliol St,Retirement Home,Respiratory,Coronavirus,2023-08-18,2023-08-28,Inactive
3836,University Health Network - Toronto Western - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2023-08-18,2023-08-28,Inactive
3837,Chester Village - 4E,3555 Danforth Ave,LTCH,Respiratory,Rhinovirus,2023-08-16,2023-08-26,Inactive
3838,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,Coronavirus,2023-08-16,2023-08-23,Inactive
3839,Ina Grafton Gage Home - Unit 1,40 Bell Estate Rd,LTCH,Respiratory,Rhinovirus,2023-08-16,2023-08-23,Inactive
3840,Villa Colombo Homes For The Aged Inc. - Fusco (4th & 5th Fl),40 Playfair Ave,LTCH,Respiratory,Parainfluenza,2023-08-16,2023-09-05,Inactive
3841,The Kensington Gardens South - S-3E & S-3W,25 Brunswick Ave,LTCH,Respiratory,Parainfluenza,2023-08-15,2023-09-20,Inactive
3842,Belmont House - 3 Walker Wing,55 Belmont St,LTCH,Respiratory,Coronavirus,2023-08-14,2023-09-09,Inactive
3843,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,Rhinovirus,2023-08-14,2023-08-24,Inactive
3844,"Cummer Lodge - 2N, 3S & 4S",205 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-08-14,2023-08-30,Inactive
3845,Eatonville Care Centre - 5 Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,2023-08-14,2023-09-05,Inactive
3846,Fountain View Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2023-08-14,2023-08-24,Inactive
3847,Hawthorne Place Care Centre - 3rd Fl - Pine 3 East Wing,2045 Finch Ave W,LTCH,Respiratory,Coronavirus,2023-08-14,2023-08-23,Inactive
3848,Hazelton Place Retirement Residence,111 Avenue Rd,LTCH,Respiratory,Rhinovirus,2023-08-14,2023-08-31,Inactive
3849,Tony Stacey Centre for Veterans Care - 1st Fl North Wing,59 Lawson Rd,LTCH,Respiratory,Unable to identify,2023-08-14,2023-08-23,Inactive
3850,Westside - 2nd & 3rd Fl,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,2023-08-14,2023-08-25,Inactive
3851,Yee Hong Centre - Scarborough Finch - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2023-08-14,2023-08-29,Inactive
3852,Norfinch Care Community - 2B,22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2023-08-13,2023-08-31,Inactive
3853,Centre for Addiction And Mental Health - Queen Site - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,2023-08-11,2023-08-18,Inactive
3854,Centre for Addiction And Mental Health - Queen Site - Unit CCC 3,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,2023-08-11,2023-08-15,Inactive
3855,McCall Centre - Interim LTC Unit,140 Sherway Dr,LTCH,Respiratory,Rhinovirus,2023-08-11,2023-08-21,Inactive
3856,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,Coronavirus,2023-08-10,2023-08-18,Inactive
3857,Yee Hong Centre for Geriatric Care - 4th Fl,2311 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-08-10,2023-08-29,Inactive
3858,Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Coronavirus,2023-08-09,2023-08-29,Inactive
3859,Villa Colombo - 2nd Fl (Fidani),40 Playfair Ave,LTCH,Respiratory,Unable to identify,2023-08-09,2023-08-15,Inactive
3860,Cummer Lodge - 2N & 3S,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2023-08-08,2023-08-30,Inactive
3861,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Metapneumovirus,2023-08-08,2023-08-16,Inactive
3862,Sts. Peter and Paul Residence - 4th Fl,221 Milner Ave,Retirement Home,Respiratory,Unable to identify,2023-08-08,2023-08-17,Inactive
3863,Sunnybrook Health Sciences Centre - Sunnybrook Veterans' Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,2023-08-08,2023-08-16,Inactive
3864,Sage Care Retirement Home - 3rd Fl ABC Unit,147 Elder St,Retirement Home,Respiratory,Coronavirus,2023-08-07,2023-08-16,Inactive
3865,Amica On The Avenue - 3rd Fl,1066 Avenue Rd,Retirement Home,Respiratory,Rhinovirus,2023-08-06,2023-08-14,Inactive
3866,Chartwell Trilogy Long Term Care Residence - 5th Fl,340 McCowan Rd,LTCH,Respiratory,Rhinovirus,2023-08-06,2023-08-19,Inactive
3867,Don Mills Retirement Residence - 4th & 6th Fl,2 Green Belt Dr,Retirement Home,Respiratory,Unable to identify,2023-08-06,2023-08-15,Inactive
3868,The Wexford - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2023-08-04,2023-08-14,Inactive
3869,Copernicus Lodge - 1st Fl,66 Roncesvalles Ave,LTCH,Enteric,Norovirus,2023-08-03,2023-08-20,Inactive
3870,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2023-08-03,2023-08-17,Inactive
3871,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,2023-08-02,2023-08-10,Inactive
3872,Harmony Hills Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,2023-08-01,2023-08-09,Inactive
3873,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-08-01,2023-08-15,Inactive
3874,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2023-07-31,2023-08-08,Inactive
3875,Hawthorne Place Care Centre - 2nd & 3rd Fl,2045 Finch Ave W,LTCH,Respiratory,Rhinovirus,2023-07-31,2023-08-21,Inactive
3876,Midland Gardens Care Community - 2nd & 4th Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2023-07-31,2023-08-21,Inactive
3877,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Parainfluenza,2023-07-30,2023-08-22,Inactive
3878,Valleyview Residence - 4 West,541 Finch Ave W,LTCH,Respiratory,Rhinovirus,2023-07-30,2023-08-15,Inactive
3879,Hellenic Home For The Aged - Ground Fl Unit,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2023-07-29,2023-08-21,Inactive
3880,Hawthorne Place Care Centre - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,Coronavirus,2023-07-28,2023-08-11,Inactive
3881,St. Bernard's Residence - 2nd & 3rd Fl,685 Finch Ave W,Retirement Home,Respiratory,Rhinovirus,2023-07-26,2023-08-08,Inactive
3882,Extendicare Rouge Valley - BSU,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2023-07-25,2023-08-24,Inactive
3883,Sinai Health System - Hennick Bridgepoint - 9 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2023-07-25,2023-08-01,Inactive
3884,Fairview Nursing Home - 2nd Fl,14 Cross St,LTCH,Respiratory,Rhinovirus,2023-07-24,2023-08-05,Inactive
3885,Carefree Lodge,306 Finch Ave E,LTCH,Respiratory,Enterovirus,2023-07-23,2023-08-07,Inactive
3886,The Village Of Humber Heights - Wadsworth Neighborhood,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,2023-07-23,2023-08-14,Inactive
3887,The Teddington - 5th Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Coronavirus,2023-07-22,2023-07-31,Inactive
3888,Westside - 4th Fl East Wing,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,2023-07-21,2023-08-04,Inactive
3889,"Craiglee Nursing Home - 2 East, 3 East & 3 West",102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-07-20,2023-08-04,Inactive
3890,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-07-20,2023-07-31,Inactive
3891,Cummer Lodge - 3rd Fl,205 Cummer Ave,LTCH,Respiratory,Metapneumovirus,2023-07-19,2023-08-04,Inactive
3892,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-07-19,2023-08-16,Inactive
3893,Kensington Gardens - The Kensington Health Centre - North Building,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,2023-07-19,2023-08-29,Inactive
3894,Queens Estate Retirement Residence - 3rd & 4th Fl,265 Queens Dr,Retirement Home,Respiratory,Coronavirus,2023-07-19,2023-08-09,Inactive
3895,Kensington Gardens - The Kensington Health Centre - 3rd Fl,25 Brunswick Ave,LTCH,Enteric,Unable to identify,2023-07-18,2023-07-23,Inactive
3896,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave East,LTCH,Respiratory,Coronavirus,2023-07-17,2023-07-31,Inactive
3897,William Osler Health System - 7E (Cardiology Unit),101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2023-07-17,2023-07-21,Inactive
3898,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2023-07-14,2023-07-21,Inactive
3899,UHN - Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-07-13,2023-08-02,Inactive
3900,Extendicare Bayview - South & East Unit,550 Cummer Ave,LTCH,Respiratory,Parainfluenza,2023-07-12,2023-08-02,Inactive
3901,Fountainview Care Community - 3rd Fl,1800 O'Connor Dr,LTCH,Enteric,Unable to identify,2023-07-12,2023-07-19,Inactive
3902,Terraces of Baycrest,55 Ameer Ave,Retirement Home,Respiratory,Influenza A,2023-07-12,2023-07-22,Inactive
3903,Extendicare Bayview - East & South Units,550 Cummer Ave,LTCH,Respiratory,Coronavirus,2023-07-11,2023-07-26,Inactive
3904,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Coronavirus,2023-07-11,2023-07-24,Inactive
3905,Weston Terrace Care Community - 1A & 2A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2023-07-11,2023-08-11,Inactive
3906,Mon Sheong Scarborough Long Term Care Centre - 4th Fl (SPH Unit),2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-07-10,2023-07-20,Inactive
3907,Midland Gardens Care Community - 3rd Fl South,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2023-07-09,2023-07-24,Inactive
3908,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Coronavirus,2023-07-08,2023-08-03,Inactive
3909,Villa Colombo - Unit 5 Fidani,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,2023-07-07,2023-08-03,Inactive
3910,The Wexford - 6th & 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,2023-07-05,2023-07-21,Inactive
3911,Kensington Gardens - 1W (North),45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,2023-07-04,2023-07-16,Inactive
3912,Labdara Lithuanian Nursing Home - Unit 2,5 Resurrection Rd,LTCH,Respiratory,Rhinovirus,2023-07-04,2023-07-22,Inactive
3913,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,2023-07-04,2023-07-13,Inactive
3914,North York General Hospital - Seniors' Health Centre - 1st & 2nd Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-07-03,2023-07-20,Inactive
3915,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-07-01,2023-07-12,Inactive
3916,Delmanor Prince Edward - 4th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2023-06-30,2023-07-12,Inactive
3917,"Extendicare Rouge Valley - Morish House, 3rd Fl Unit",551 Conlins Rd,LTCH,Respiratory,Coronavirus,2023-06-30,2023-07-27,Inactive
3918,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2023-06-30,2023-07-08,Inactive
3919,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-06-29,2023-07-06,Inactive
3920,Retirement Suites By The Lake - 2nd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,2023-06-28,2023-07-06,Inactive
3921,Kensington Gardens - The Kensington Health Centre - Unit 2,45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,2023-06-27,2023-07-05,Inactive
3922,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-06-27,2023-07-05,Inactive
3923,The Jewish Home for the Aged - 5EI,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-06-27,2023-07-09,Inactive
3924,Kennedy Lodge - 2 North,1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,2023-06-26,2023-07-06,Inactive
3925,Runnymede Healthcare Centre - 4E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-06-26,2023-07-03,Inactive
3926,Villa Colombo Homes for the Aged - 2 Fusco North,40 Playfair Ave,LTCH,Respiratory,Enterovirus,2023-06-26,2023-07-04,Inactive
3927,Amica Bayview Gardens - 3rd Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2023-06-25,2023-07-08,Inactive
3928,Unity Health Toronto - Houses of Providence - HOP 1 East - Redwood,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-23,2023-07-04,Inactive
3929,Tendercare Living Centre - 2 East & 3rd Fl,1020 Mcnicoll Ave,LTCH,Respiratory,Parainfluenza,2023-06-21,2023-07-14,Inactive
3930,Chartwell Trilogy Long Term Care Residence - 7th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2023-06-17,2023-06-27,Inactive
3931,Humber Meadows Long-Term Care Home - 4th Fl Cardinal North Unit,2109 Finch Ave W,LTCH,Enteric,Unable to identify,2023-06-17,2023-06-26,Inactive
3932,Unity Health Toronto - Providence - B4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Coronavirus,2023-06-16,2023-06-22,Inactive
3933,"Villa Colombo Homes for the Aged - 2 Fusco West, South & North",40 Playfair Ave,LTCH,Respiratory,Coronavirus,2023-06-16,2023-07-04,Inactive
3934,Fieldstone Commons Care Community - 2A,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2023-06-15,2023-07-01,Inactive
3935,Unity Health Toronto - Houses of Providence - HOP 1NE - Birch,3276 St. Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-15,2023-06-27,Inactive
3936,Donway Place - 3rd & 4th Fl,8 The Donway E,Retirement Home,Respiratory,Rhinovirus,2023-06-14,2023-07-05,Inactive
3937,"Scarborough Retirement Residence - 2nd, 3rd, 6th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus,2023-06-13,2023-07-13,Inactive
3938,Chartwell Guildwood Retirement Residence - 2nd Fl (Memory Living),65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2023-06-12,2023-06-26,Inactive
3939,Unity Health Toronto - Houses of Providence - HOP 2NW - Pine,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-10,2023-06-20,Inactive
3940,Unity Health Toronto - Houses of Providence - HOP 2E - Spruce,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-09,2023-06-15,Inactive
3941,Weston Terrace Care Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2023-06-09,2023-06-28,Inactive
