,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
3826,Valleyview Residence - 2E & 2W,541 Finch Ave W,LTCH,Respiratory,Parainfluenza,2023-04-22,2023-05-23,Inactive,-79.4482104,43.7727096,2023,April,Spring
3827,Westside - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2023-04-22,2023-05-18,Inactive,-79.5667899,43.7373503,2023,April,Spring
3828,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,2023-04-21,2023-05-05,Inactive,-79.4326664,43.6356584,2023,April,Spring
3829,Midland Gardens Care Community - 5th & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2023-04-20,2023-05-12,Inactive,-79.2469846,43.7077593,2023,April,Spring
3830,Norfinch Care Community - Unit 3A,22 Norfinch Dr,LTCH,Respiratory,Metapneumovirus,2023-04-20,2023-05-03,Inactive,-79.52465315351665,43.75628127207558,2023,April,Spring
3831,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,Coronavirus,2023-04-20,2023-04-27,Inactive,-79.401462,43.672538,2023,April,Spring
3832,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Enterovirus,2023-04-19,2023-04-28,Inactive,-79.238633,43.73837,2023,April,Spring
3833,Craiglee Nursing Home - 3 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-04-19,2023-04-29,Inactive,-79.2528019,43.7067792,2023,April,Spring
3834,RCC - William Osler Health System - Church Site - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-19,2023-04-24,Inactive,-79.510442,43.709345,2023,April,Spring
3835,"Bendale Acres - 2 West, 3rd & 6th Fl",2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2023-04-18,2023-05-26,Inactive,-79.2516534,43.7543919,2023,April,Spring
3836,Harmony Hills Care Community - 2nd Fl,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2023-04-18,2023-04-27,Inactive,-79.30522822012195,43.7204409,2023,April,Spring
3837,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-18,2023-05-11,Inactive,-79.2753435,43.7058073,2023,April,Spring
3838,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-18,2023-04-26,Inactive,-79.40424676206896,43.789755968965515,2023,April,Spring
3839,Cedarbrook Lodge Retirement Residence - 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2023-04-17,2023-04-27,Inactive,-79.2241579,43.7554562,2023,April,Spring
3840,Harold and Grace Baker Centre - A & C Wing,1 Northwestern Ave,LTCH,Respiratory,Metapneumovirus,2023-04-17,2023-04-24,Inactive,-79.4688897,43.6987718,2023,April,Spring
3841,Jewish Home for the Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-04-17,2023-04-27,Inactive,-79.4361036,43.7292745,2023,April,Spring
3842,Unity Health - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus,2023-04-17,2023-04-25,Inactive,-79.450101,43.639359,2023,April,Spring
3843,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-04-28,Inactive,-79.4059789,43.6537982,2023,April,Spring
3844,University Health Network - Toronto Western - 9B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-04-25,Inactive,-79.4059789,43.6537982,2023,April,Spring
3845,William Osler Health System - 10W Respirology Unit,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-05-03,Inactive,-79.5991896,43.7306053,2023,April,Spring
3846,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2023-04-16,2023-04-25,Inactive,-79.43074080619229,43.6403384,2023,April,Spring
3847,RCC - Mackenzie Health Hospital - Finch Site - 4 East,2111 Finch Ave W,Transitional Care,Respiratory,Coronavirus,2023-04-16,2023-04-26,Inactive,-79.5260221,43.7536378,2023,April,Spring
3848,RCC - Mackenzie Health Hospital - Finch Site - 3 (West & East),2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-15,2023-05-01,Inactive,-79.5260221,43.7536378,2023,April,Spring
3849,Shepherd Terrace Retirement Residence - 5th Fl,3758 Sheppard Avenue E,Retirement Home,Respiratory,Coronavirus,2023-04-14,2023-04-27,Inactive,-79.29459460107817,43.782512999999994,2023,April,Spring
3850,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-04-14,2023-05-13,Inactive,-79.390408,43.65813,2023,April,Spring
3851,"Altamont Care Community - Wing 1, 2 & 3",92 Island Rd,LTCH,Respiratory,Coronavirus,2023-04-13,2023-05-01,Inactive,-79.13997840570175,43.7988385,2023,April,Spring
3852,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2023-04-13,2023-04-27,Inactive,-79.4247813,43.7065006,2023,April,Spring
3853,RCC - Humber River Hospital - Church Site - A2N,200 Church Street,Transitional Care,Respiratory,Coronavirus,2023-04-13,2023-04-27,Inactive,-79.510442,43.709345,2023,April,Spring
3854,St. George Care Community - 5th Fl,225 St. George St,LTCH,Respiratory,Unable to identify,2023-04-13,2023-04-20,Inactive,-79.401462,43.672538,2023,April,Spring
3855,RCC - Southlake Regional Health Centre - Finch Site - 6 West,2111 Finch Ave W,Transitional Care,Respiratory,Coronavirus,2023-04-12,2023-04-25,Inactive,-79.5260221,43.7536378,2023,April,Spring
3856,Amica On the Avenue - Main Fl (Dining Rm),1066 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2023-04-11,2023-04-21,Inactive,-79.410136,43.705781,2023,April,Spring
3857,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl North,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-10,2023-04-17,Inactive,-79.2994857,43.8128599,2023,April,Spring
3858,Nisbet Lodge - 10th & 11th Fl,740 Pape Ave,LTCH,Respiratory,Coronavirus,2023-04-10,2023-04-26,Inactive,-79.3456271,43.6804485,2023,April,Spring
3859,Nisbet Lodge - 8th Fl,740 Pape Ave,LTCH,Enteric,Unable to identify,2023-04-10,2023-04-25,Inactive,-79.3456271,43.6804485,2023,April,Spring
3860,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Enteric,Norovirus,2023-04-10,2023-04-19,Inactive,-79.481008,43.664497,2023,April,Spring
3861,"The Kensington Gardens - 3W, 4E & 4W",25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2023-04-10,2023-04-28,Inactive,-79.40368867487679,43.6581346,2023,April,Spring
3862,Unity Health Toronto - St. Michael's - 9CG,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-10,2023-04-18,Inactive,-79.3784327,43.6542289,2023,April,Spring
3863,Villa Colombo Homes for the Aged - 3 Fusco (North & South),40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,2023-04-10,2023-05-01,Inactive,-79.45668174072816,43.71094909999999,2023,April,Spring
3864,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Respiratory syncytial virus,2023-04-09,2023-04-21,Inactive,-79.3316241,43.66280613333333,2023,April,Spring
3865,Unity Health Toronto - St. Michael's - 7CCV,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-09,2023-04-22,Inactive,-79.3784327,43.6542289,2023,April,Spring
3866,Downsview Long Term Care Centre - Unit 2N,3595 Keele St,LTCH,Respiratory,Metapneumovirus,2023-04-07,2023-04-17,Inactive,-79.48781545714286,43.751348042857146,2023,April,Spring
3867,North York General Hospital - Seniors' Health Centre - 1st Fl East & West Wing,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-06,2023-04-18,Inactive,-79.35998,43.772849,2023,April,Spring
3868,One Kenton Place - 1st Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Coronavirus,2023-04-06,2023-04-24,Inactive,-79.4420782,43.7785118,2023,April,Spring
3869,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-06,2023-04-18,Inactive,-79.40424676206896,43.789755968965515,2023,April,Spring
3870,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-04-06,2023-04-20,Inactive,-79.387438,43.657372,2023,April,Spring
3871,West Park Healthcare Centre - 3EB,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-06,2023-04-13,Inactive,-79.5098225,43.687805,2023,April,Spring
3872,"Chartwell Grenadier Retirement Residence - 2nd Fl (Unit B), 3rd Fl (Unit A & D) & 7th Fl (Unit C)",2100 Bloor Street W,Retirement Home,Respiratory,Coronavirus,2023-04-05,2023-04-25,Inactive,-79.4711165,43.6524038,2023,April,Spring
3873,Chartwell Trilogy Long Term Care Residence - 3rd & 6th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2023-04-05,2023-04-25,Inactive,-79.238633,43.73837,2023,April,Spring
3874,Delmanor Prince Edward - 5th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2023-04-05,2023-04-24,Inactive,-79.50993406250001,43.6609728625,2023,April,Spring
3875,Eatonville Care Centre - Unit 5,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-04-05,2023-04-24,Inactive,-79.560686,43.64745,2023,April,Spring
3876,McCowan Retirement Residence - 6th Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,Coronavirus,2023-04-05,2023-04-18,Inactive,-79.24023145999999,43.7382847,2023,April,Spring
3877,Sunnybrook Health Sciences Centre - St. John's Rehab - A2,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-05,2023-04-13,Inactive,-79.40424676206896,43.789755968965515,2023,April,Spring
3878,Fountain View Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2023-04-04,2023-04-17,Inactive,-79.30522822012195,43.7204409,2023,April,Spring
3879,Tony Stacey Centre for Veterans' Care - 2nd Fl South,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2023-04-04,2023-04-12,Inactive,-79.16359737687672,43.78421151514884,2023,April,Spring
3880,Main Street Terrace - 1st Fl,77 Main St,LTCH,Respiratory,Coronavirus,2023-04-03,2023-04-19,Inactive,-79.29894248888888,43.681406233333334,2023,April,Spring
3881,Scarborough Health Network - Centenary Hospital - 8E,2867 Ellesmere Rd,Hospital-Acute Care,Other,CPE,2023-04-03,2023-05-08,Inactive,-79.204964,43.78009,2023,April,Spring
3882,The Teddington - 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Coronavirus,2023-04-03,2023-04-11,Inactive,-79.4040004,43.733129,2023,April,Spring
3883,Retirement Suites By The Lake - 2nd & 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Metapneumovirus,2023-04-02,2023-04-11,Inactive,-79.2561528,43.6979544,2023,April,Spring
3884,Sunnybrook Health Sciences Centre - St. John's Rehab - A (Lower Level),285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-02,2023-04-12,Inactive,-79.40424676206896,43.789755968965515,2023,April,Spring
3885,Eatonville Care Centre - Unit 3,420 The East Mall,LTCH,Respiratory,Coronavirus,2023-03-31,2023-04-19,Inactive,-79.560686,43.64745,2023,March,Spring
3886,"Mon Sheong Scarborough Long Term Care Centre - NPH, SPH, 3N & 3S",2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-03-30,2023-04-28,Inactive,-79.2994857,43.8128599,2023,March,Spring
3887,Village Of Humber Heights - Brule & Lambton,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A,2023-03-30,2023-04-11,Inactive,-79.527245,43.6972121,2023,March,Spring
3888,Weston Terrace Care Community - 2B,2005 Lawrence Ave W,LTCH,Respiratory,Metapneumovirus,2023-03-30,2023-04-18,Inactive,-79.51072231818182,43.70133497272727,2023,March,Spring
3889,Chester Village - 3W & 4W,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2023-03-29,2023-04-21,Inactive,-79.27409672758621,43.69413068275862,2023,March,Spring
3890,Bendale Acres - CSU,2920 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,2023-03-28,2023-04-11,Inactive,-79.2516534,43.7543919,2023,March,Spring
3891,Mon Sheong Home for the Aged - 2F,36 D'Arcy St,LTCH,Respiratory,Coronavirus,2023-03-28,2023-04-27,Inactive,-79.39325999536922,43.6553005,2023,March,Spring
3892,Terraces Of Baycrest,55 Ameer Ave,Retirement Home,Enteric,Norovirus,2023-03-28,2023-04-22,Inactive,-79.4410166,43.7294379,2023,March,Spring
3893,West Park Healthcare Centre - 3EA,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-28,2023-04-04,Inactive,-79.5098225,43.687805,2023,March,Spring
3894,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-03-27,2023-04-07,Inactive,-79.2468577,43.7550969,2023,March,Spring
3895,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2023-03-27,2023-04-09,Inactive,-79.2468577,43.7550969,2023,March,Spring
3896,Runnymede Healthcare Centre - 4 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-27,2023-03-30,Inactive,-79.481008,43.664497,2023,March,Spring
3897,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2023-03-27,2023-04-18,Inactive,-79.2034339,43.7794412,2023,March,Spring
3898,The Dunfield Retirement Residence - Dining,77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2023-03-27,2023-04-11,Inactive,-79.3950841875,43.7066295625,2023,March,Spring
3899,Wellesley Central Place - 2W,160 Wellesley St E,LTCH,Respiratory,Coronavirus,2023-03-27,2023-04-04,Inactive,-79.375496,43.667154,2023,March,Spring
3900,Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2023-03-24,2023-04-06,Inactive,-79.616344,43.731729,2023,March,Spring
3901,Kensington Gardens North - N-1E,45 Brunswick Ave,LTCH,Enteric,Unable to identify,2023-03-24,2023-03-28,Inactive,-79.404305,43.658784,2023,March,Spring
3902,New Horizons Tower - 12th Fl,1140 Bloor St W,Retirement Home,Respiratory,Parainfluenza,2023-03-24,2023-04-05,Inactive,-79.43604266376147,43.659954600000006,2023,March,Spring
3903,Castleview Wychwood Towers - Unit 5W & 5C,351 Christie St,LTCH,Respiratory,Coronavirus,2023-03-23,2023-04-04,Inactive,-79.42113793274277,43.673349,2023,March,Spring
3904,Scarborough Health Network - General Hospital - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Metapneumovirus,2023-03-23,2023-04-04,Inactive,-79.246316,43.7566259,2023,March,Spring
3905,Scarborough Health Network-Scarborough General - 4C Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2023-03-23,2023-03-31,Inactive,-79.246316,43.7566259,2023,March,Spring
3906,Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Coronavirus,2023-03-22,2023-04-14,Inactive,-79.3758609,43.807618,2023,March,Spring
3907,Kingsway - 5th Fl,4251 Dundas St W,Retirement Home,Respiratory,Unable to identify,2023-03-22,2023-04-01,Inactive,-79.513986,43.6591255,2023,March,Spring
3908,"The Annex - 1st, 2nd & 4th Fl",123 Spadina Rd,Retirement Home,Enteric,Unable to identify,2023-03-22,2023-03-29,Inactive,-79.405505,43.67175,2023,March,Spring
3909,Extendicare Bayview - East Unit & West Unit,550 Cummer Ave,LTCH,Respiratory,Metapneumovirus,2023-03-20,2023-04-05,Inactive,-79.3904512,43.7932278,2023,March,Spring
3910,Unity Health Toronto - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus,2023-03-20,2023-03-28,Inactive,-79.450101,43.639359,2023,March,Spring
3911,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,Coronavirus,2023-03-19,2023-03-24,Inactive,-79.4482104,43.7727096,2023,March,Spring
3912,The Claremont - 5th Fl,305 Balliol St,Retirement Home,Respiratory,Coronavirus,2023-03-18,2023-03-29,Inactive,-79.386874,43.699176,2023,March,Spring
3913,Altamont Care Community - Wing 3,92 Island Rd,LTCH,Respiratory,Unable to identify,2023-03-17,2023-03-27,Inactive,-79.13997840570175,43.7988385,2023,March,Spring
3914,Fountain View Care Community - 2B,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2023-03-17,2023-03-29,Inactive,-79.30522822012195,43.7204409,2023,March,Spring
3915,Sinai Health System - Mount Sinai - 10N,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2023-03-17,2023-03-29,Inactive,-79.390445,43.657536,2023,March,Spring
3916,Villa Colombo Homes for the Aged,40 Playfair Ave,LTCH,Respiratory,Coronavirus,2023-03-16,2023-04-26,Inactive,-79.45668174072816,43.71094909999999,2023,March,Spring
3917,Craiglee Nursing Home - 1 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-03-15,2023-03-31,Inactive,-79.2528019,43.7067792,2023,March,Spring
3918,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Coronavirus,2023-03-15,2023-03-23,Inactive,-79.1825648,43.7754026,2023,March,Spring
3919,Humber Valley Terrace - 2nd Fl,95 Humber College Blvd,LTCH,Enteric,Unable to identify,2023-03-15,2023-03-21,Inactive,-79.5994248,43.7307129,2023,March,Spring
3920,Chartwell Westbury Long Term Care Residence - 2nd Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2023-03-14,2023-03-29,Inactive,-79.567866,43.648303,2023,March,Spring
3921,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-14,2023-03-24,Inactive,-79.40424676206896,43.789755968965515,2023,March,Spring
3922,Villa Colombo Homes for the Aged - 4 Fidani,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,2023-03-14,2023-04-05,Inactive,-79.45668174072816,43.71094909999999,2023,March,Spring
3923,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-13,2023-04-05,Inactive,-79.3026915478865,43.6778819,2023,March,Spring
3924,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Coronavirus,2023-03-13,2023-04-10,Inactive,-79.392388,43.7850419,2023,March,Spring
3925,Chartwell White Eagle Long Term Care Residence - 2nd Fl,138 Dowling Ave,LTCH,Respiratory,Coronavirus,2023-03-13,2023-03-25,Inactive,-79.439009,43.637221,2023,March,Spring
3926,Christie Gardens - Cedarvale Wing,600 Melita Cres,Retirement Home,Respiratory,Respiratory syncytial virus,2023-03-13,2023-03-25,Inactive,-79.4229698,43.6725542,2023,March,Spring
3927,Downsview Long Term Care Centre - Unit 1 East & 2 East,3595 Keele St,LTCH,Respiratory,Coronavirus,2023-03-13,2023-03-27,Inactive,-79.48781545714286,43.751348042857146,2023,March,Spring
3928,Fudger House - 1E,439 Sherbourne St,LTCH,Enteric,Unable to identify,2023-03-13,2023-03-28,Inactive,-79.373735,43.666208,2023,March,Spring
3929,New Horizons Tower - 5th Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2023-03-13,2023-03-15,Inactive,-79.43604266376147,43.659954600000006,2023,March,Spring
3930,North York General Hospital - General Site - 3W,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-03-13,2023-03-21,Inactive,-79.362213,43.7699003,2023,March,Spring
3931,West Park Long Term Care Centre - Weston & Mulholland,82 Buttonwood Avenue,LTCH,Respiratory,Coronavirus,2023-03-13,2023-03-30,Inactive,-79.5098225,43.687805,2023,March,Spring
3932,"Chartwell Gibson Retirement Residence - 3rd, 4th & 5th Fl",1955 Steeles Ave E,Retirement Home,Respiratory,Coronavirus,2023-03-12,2023-03-27,Inactive,-79.3726983,43.8083147,2023,March,Spring
3933,Salvation Army Toronto Grace Health Centre - 2nd Fl Surge Unit,650 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-12,2023-03-26,Inactive,-79.383202,43.670326,2023,March,Spring
3934,Unity Health Toronto - Providence - B4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-12,2023-03-18,Inactive,-79.2861565,43.7135926,2023,March,Spring
3935,Amica Bayview Village - 8th Fl,15 Barberry Pl,Retirement Home,Enteric,Unable to identify,2023-03-11,2023-03-24,Inactive,-79.3841852,43.7658146,2023,March,Spring
3936,Trillium Health Partners- Queensway - Main Fl,150 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-11,2023-03-18,Inactive,-79.5628735,43.6100273,2023,March,Spring
3937,Village of Humber Heights - Weston,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,2023-03-11,2023-05-02,Inactive,-79.527245,43.6972121,2023,March,Spring
3938,Eatonville Care Centre - 3rd Fl,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-03-10,2023-03-27,Inactive,-79.560686,43.64745,2023,March,Spring
3939,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Coronavirus,2023-03-10,2023-03-16,Inactive,-79.560686,43.64745,2023,March,Spring
3940,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Metapneumovirus,2023-03-10,2023-03-27,Inactive,-79.2034339,43.7794412,2023,March,Spring
3941,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2023-03-10,2023-03-20,Inactive,-79.450101,43.639359,2023,March,Spring
3942,University Health Network - Toronto General - 6ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-03-10,2023-03-21,Inactive,-79.3869528,43.6583672,2023,March,Spring
3943,Queens Estate Retirement Residence - 5th Fl,265 Queens Dr,Retirement Home,Respiratory,Coronavirus,2023-03-09,2023-03-27,Inactive,-79.504314,43.707185,2023,March,Spring
3944,The Kensington Gardens North - North 2W,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,2023-03-09,2023-03-16,Inactive,-79.404305,43.658784,2023,March,Spring
3945,Chartwell Westbury Long Term Care Residence - 7th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2023-03-08,2023-03-20,Inactive,-79.567866,43.648303,2023,March,Spring
3946,Fountain View Care Community - 2A,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2023-03-08,2023-03-15,Inactive,-79.30522822012195,43.7204409,2023,March,Spring
3947,Sunnybrook Health Sciences Centre - Bayview Campus - D2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2023-03-08,2023-03-22,Inactive,-79.3792695,43.7235801,2023,March,Spring
3948,Weston Terrace Care Community - 2A,2005 Lawrence Ave W,LTCH,Enteric,Norovirus,2023-03-08,2023-03-20,Inactive,-79.51072231818182,43.70133497272727,2023,March,Spring
3949,Castleview Wychwood Tower - 6th Fl,351 Christie St,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-03-07,2023-03-17,Inactive,-79.42113793274277,43.673349,2023,March,Spring
3950,University Health Network - Transitional Care Program - Queens Estate - 7th Fl,265 Queens Dr,Transitional Care,Respiratory,Coronavirus,2023-03-07,2023-03-15,Inactive,-79.504314,43.707185,2023,March,Spring
3951,Ivan Franko Home (Etobicoke) - 2 South,767 Royal York Rd,LTCH,Respiratory,Coronavirus,2023-03-06,2023-03-16,Inactive,-79.50674173953753,43.63774485,2023,March,Spring
3952,Castleview Wychwood Towers - 5th & 6th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2023-03-03,2023-03-17,Inactive,-79.42113793274277,43.673349,2023,March,Spring
3953,Fudger House - 1 East & 2 West,439 Sherbourne St,LTCH,Respiratory,Respiratory syncytial virus,2023-03-03,2023-03-24,Inactive,-79.373735,43.666208,2023,March,Spring
3954,West Park Healthcare Centre - 3EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,2023-03-03,2023-03-10,Inactive,-79.5098225,43.687805,2023,March,Spring
3955,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,2023-03-03,2023-03-17,Inactive,-79.5098225,43.687805,2023,March,Spring
3956,North York General Hospital - 6W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2023-03-02,2023-03-09,Inactive,-79.362213,43.7699003,2023,March,Spring
3957,True Davidson Acres - 2nd & 4th Fl,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2023-03-02,2023-03-21,Inactive,-79.298175,43.69582,2023,March,Spring
3958,Chester Village - 3E,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2023-03-01,2023-03-07,Inactive,-79.27409672758621,43.69413068275862,2023,March,Spring
3959,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2023-03-01,2023-03-20,Inactive,-79.3957197,43.6732425,2023,March,Spring
3960,The Kensington Gardens North - North 1W,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,2023-03-01,2023-03-12,Inactive,-79.404305,43.658784,2023,March,Spring
3961,Baycrest Hospital - 3 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2023-02-28,2023-03-09,Inactive,-79.4361036,43.7292745,2023,February,Winter
3962,True Davidson Acres - 2nd Fl,200 Dawes Rd,LTCH,Respiratory,Unable to identify,2023-02-28,2023-03-17,Inactive,-79.298175,43.69582,2023,February,Winter
3963,Unity Health Toronto - Providence - A3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2023-02-28,2023-03-07,Inactive,-79.2861565,43.7135926,2023,February,Winter
3964,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-02-27,2023-03-13,Inactive,-79.4059789,43.6537982,2023,February,Winter
3965,Weston Terrace Care Community - 3A & 3B,2005 Lawrence Ave W,LTCH,Enteric,Norovirus,2023-02-27,2023-03-08,Inactive,-79.51072231818182,43.70133497272727,2023,February,Winter
3966,Baycrest Hospital - North York - 7 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2023-02-26,2023-03-05,Inactive,-79.4361036,43.7292745,2023,February,Winter
3967,Kipling Acres - Highfield (2nd Fl - Behavioral Unit),2233 Kipling Ave,LTCH,Enteric,Unable to identify,2023-02-26,2023-03-07,Inactive,-79.571631,43.725014,2023,February,Winter
3968,Castleview Wychwood Tower - Unit 2W,351 Christie St,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-02-24,2023-03-07,Inactive,-79.42113793274277,43.673349,2023,February,Winter
3969,Mon Sheong Scarborough Long Term Care Centre - 4th Fl (SPH),2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-02-24,2023-03-08,Inactive,-79.2994857,43.8128599,2023,February,Winter
